,CONTACT_ID,no_of_sales_12M_1,no_of_Redemption_12M_1,no_of_sales_12M_10K,no_of_Redemption_12M_10K,no_of_funds_sold_12M_1,no_of_funds_redeemed_12M_1,no_of_fund_sales_12M_10K,no_of_funds_Redemption_12M_10K,no_of_assetclass_sold_12M_1,no_of_assetclass_redeemed_12M_1,no_of_assetclass_sales_12M_10K,no_of_assetclass_Redemption_12M_10K,No_of_fund_curr,No_of_asset_curr,AUM,sales_curr,sales_12M,redemption_curr,redemption_12M,new_Fund_added_12M,sales_2019,new_fund_2019,CustomerID,Firm ID,Office ID,Channel,Sub channel,Firm name
4559,4409898,0.0,13.0,0.0,6.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,2.0,1.0,3386517.1,0.0,0.0,-17886.57,-130505.4,0.0,0.0,0.0,4040,85202161074527509544,17754050779,Dual,IBD,Charles Schwab Investor Services
4560,0323871,15.0,3.0,1.0,0.0,4.0,2.0,1.0,0.0,3.0,2.0,1.0,0.0,10.0,4.0,779471.531734,0.0,54675.945,-25613.815,-1346.46,2.0,102459.41,2.0,1527,85201112683918276481,85201130424999871570,Independent Dealer,NACS,Wells Fargo Banking & Investment Services
4561,0358699,101.0,11.0,5.0,1.0,7.0,4.0,4.0,1.0,2.0,1.0,1.0,1.0,10.0,3.0,901644.28,6722.7,307181.87,-4152.77,-85189.11,3.0,55092.07,0.0,1923,1567450,15674502704,National Broker-Dealer,NACS,Merrill Lynch
4562,10751171854176772103,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6011,1948520,19485201035,National Broker-Dealer,NACS,Morgan Stanley Wealth Management
4563,10751183184401515471,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-185.9,0.0,0.0,0.0,6282,1471422,10751183184390395429,Independent Dealer,IBD,Edward Jones
4564,85201161003902610034,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-64454.58,0.0,0.0,0.0,9168,1080050,85101110945478138178,Bank/Trust,IBD,Cetera Investment Services LLC
4565,4302152,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2163,0017605,85102143744469502721,Independent Dealer,IBD,Purshe Kaplan Sterling Investments
4566,4303672,22.0,89.0,3.0,2.0,7.0,7.0,3.0,2.0,3.0,3.0,2.0,1.0,11.0,2.0,2481856.672992,2148.385,567303.84,-21762.705,-162036.65,1.0,861631.295,0.0,2188,85201112683918276481,85202112695847971278,Independent Dealer,NACS,Wells Fargo Banking & Investment Services
4567,4365017,0.0,6.0,0.0,4.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,936904.31,0.0,0.0,0.0,-696922.0,0.0,767.4,1.0,3323,1688552,16885522404,National Broker-Dealer,NACS,"UBS Financial Services, Inc."
4568,0081002,13.0,0.0,2.0,0.0,3.0,0.0,1.0,0.0,3.0,0.0,1.0,0.0,2.0,1.0,0.0,94.6,63191.82,0.0,0.0,1.0,2217.81,0.0,420,1688552,16885521789,National Broker-Dealer,NACS,"UBS Financial Services, Inc."
